wavenumber_cm1,transmittance
400.0,0.1511987
414.4578313253012,0.16700305
428.9156626506024,0.16421318
443.3734939759036,0.16317101
457.8313253012048,0.15724613
472.28915662650604,0.16830875
486.7469879518072,0.17310965
501.2048192771084,0.16232827
515.6626506024096,0.16817538
530.1204819277109,0.1694144
544.5783132530121,0.16900252
559.0361445783133,0.15068181
573.4939759036145,0.15923092
587.9518072289156,0.17529199
602.4096385542168,0.1785965
616.867469879518,0.1564277
631.3253012048193,0.1622459
645.7831325301205,0.17452693
660.2409638554217,0.21953896
674.698795180723,0.20462695
689.1566265060242,0.2019855
703.6144578313254,0.20288649
718.0722891566265,0.21188442
732.5301204819277,0.2109324
746.9879518072289,0.18910302
761.4457831325301,0.20327283
775.9036144578313,0.19982983
790.3614457831325,0.22126198
804.8192771084338,0.16846117
819.277108433735,0.1936635
833.7349397590361,0.17227268
848.1927710843374,0.16123937
862.6506024096386,0.16851313
877.1084337349398,0.18543573
891.566265060241,0.17234698
906.0240963855422,0.18166673
920.4819277108434,0.18064031
934.9397590361446,0.17150535
949.3975903614459,0.16270584
963.855421686747,0.14532563
978.3132530120482,0.15228482
992.7710843373494,0.14530605
1007.2289156626506,0.15173778
1021.6867469879518,0.1515978
1036.144578313253,0.1843441
1050.6024096385543,0.21897143
1065.0602409638554,0.21328504
1079.5180722891566,0.20159082
1093.9759036144578,0.22535986
1108.433734939759,0.24495225
1122.8915662650602,0.29675034
1137.3493975903616,0.24862549
1151.8072289156626,0.23232019
1166.265060240964,0.22266488
1180.722891566265,0.2060051
1195.1807228915663,0.20797116
1209.6385542168675,0.19229211
1224.0963855421687,0.2216768
1238.55421686747,0.23539321
1253.012048192771,0.25951317
1267.4698795180723,0.25289112
1281.9277108433735,0.19224137
1296.3855421686749,0.19779965
1310.8433734939758,0.16824353
1325.3012048192772,0.1836976
1339.7590361445782,0.19142346
1354.2168674698796,0.20417304
1368.6746987951808,0.19258839
1383.132530120482,0.20517488
1397.5903614457832,0.18095884
1412.0481927710844,0.16040292
1426.5060240963855,0.15921827
1440.9638554216867,0.16314979
1455.421686746988,0.20957185
1469.879518072289,0.19923554
1484.3373493975903,0.19172844
1498.7951807228917,0.19428839
1513.2530120481929,0.19741727
1527.710843373494,0.18735616
1542.1686746987953,0.1894831
1556.6265060240964,0.21932317
1571.0843373493976,0.19121437
1585.5421686746988,0.18231012
1600.0,0.22522216
1614.4578313253012,0.20444545
1628.9156626506024,0.21610254
1643.3734939759036,0.16270068
1657.8313253012047,0.16674061
1672.2891566265062,0.14491187
1686.7469879518073,0.1863085
1701.2048192771085,0.16536596
1715.6626506024097,0.19851209
1730.120481927711,0.22275127
1744.578313253012,0.2148443
1759.0361445783133,0.2912951
1773.4939759036145,0.23093529
1787.9518072289156,0.2539022
1802.4096385542168,0.25558686
1816.867469879518,0.1838306
1831.3253012048194,0.18021896
1845.7831325301206,0.19327839
1860.2409638554218,0.17194232
1874.698795180723,0.16939034
1889.1566265060242,0.18054608
1903.6144578313254,0.16621952
1918.0722891566265,0.16914709
1932.5301204819277,0.17377546
1946.987951807229,0.16774414
1961.44578313253,0.17453511
1975.9036144578313,0.16258915
1990.3614457831325,0.1812463
2004.8192771084339,0.14914365
2019.277108433735,0.15163095
2033.7349397590363,0.16665627
2048.1927710843374,0.16365722
2062.650602409639,0.17553326
2077.10843373494,0.14548147
2091.5662650602408,0.14885893
2106.024096385542,0.17525092
2120.4819277108436,0.16249202
2134.9397590361446,0.16041104
2149.3975903614455,0.1586426
2163.855421686747,0.15155548
2178.3132530120483,0.16467795
2192.7710843373497,0.1521026
2207.2289156626507,0.17690435
2221.6867469879517,0.16650712
2236.144578313253,0.17143634
2250.6024096385545,0.19829927
2265.0602409638554,0.16177662
2279.5180722891564,0.15986885
2293.975903614458,0.19042544
2308.4337349397592,0.17206274
2322.89156626506,0.15496902
2337.3493975903616,0.15906675
2351.8072289156626,0.14815657
2366.265060240964,0.16427858
2380.7228915662654,0.17233317
2395.1807228915663,0.14905204
2409.6385542168673,0.16636358
2424.0963855421687,0.1564492
2438.55421686747,0.15624638
2453.012048192771,0.16157019
2467.4698795180725,0.14905211
2481.9277108433735,0.16244052
2496.385542168675,0.16338716
2510.843373493976,0.17246528
2525.3012048192772,0.15716651
2539.759036144578,0.15176377
2554.2168674698796,0.15361562
2568.6746987951806,0.17081004
2583.132530120482,0.16245972
2597.5903614457834,0.15944223
2612.0481927710844,0.19415316
2626.5060240963858,0.16665623
2640.9638554216867,0.18071881
2655.421686746988,0.16995434
2669.879518072289,0.18020228
2684.3373493975905,0.16534309
2698.7951807228915,0.1575195
2713.253012048193,0.1689883
2727.710843373494,0.16893844
2742.1686746987953,0.1609668
2756.6265060240967,0.15885848
2771.0843373493976,0.20073184
2785.542168674699,0.16550261
2800.0,0.18450114
2814.4578313253014,0.16672727
2828.9156626506024,0.19050674
2843.373493975904,0.16409247
2857.8313253012047,0.2623169
2872.289156626506,0.26900873
2886.746987951807,0.2676098
2901.2048192771085,0.25286183
2915.6626506024095,0.30359966
2930.120481927711,0.37467048
2944.5783132530123,0.40925422
2959.0361445783133,0.37632668
2973.4939759036147,0.33635673
2987.9518072289156,0.28211895
3002.409638554217,0.19890493
3016.867469879518,0.15089434
3031.3253012048194,0.18135458
3045.7831325301204,0.1713593
3060.240963855422,0.15720345
