compound_name,smiles,wavenumber_cm1,transmittance
ethanol,CCO,2539.76,0.002502
ethanol,CCO,2554.22,0.002778
ethanol,CCO,2568.67,0.003888
ethanol,CCO,2583.13,0.005556
ethanol,CCO,2597.59,0.007172
ethanol,CCO,2612.05,0.008981
ethanol,CCO,2626.51,0.011576
ethanol,CCO,2640.96,0.013809
ethanol,CCO,2655.42,0.014154
ethanol,CCO,2669.88,0.016791
ethanol,CCO,2684.34,0.018487
ethanol,CCO,2698.8,0.022081
ethanol,CCO,2713.25,0.028586
ethanol,CCO,2727.71,0.035966
ethanol,CCO,2742.17,0.045517
ethanol,CCO,2756.63,0.051961
ethanol,CCO,2771.08,0.058265
ethanol,CCO,2785.54,0.06925
ethanol,CCO,2800.0,0.086875
ethanol,CCO,2814.46,0.1142
ethanol,CCO,2828.92,0.157652
ethanol,CCO,2843.37,0.235711
ethanol,CCO,2857.83,0.363718
ethanol,CCO,2872.29,0.514211
ethanol,CCO,2886.75,0.648322
ethanol,CCO,2901.2,0.739808
ethanol,CCO,2915.66,0.767109
ethanol,CCO,2930.12,0.753657
ethanol,CCO,2944.58,0.808893
ethanol,CCO,2959.04,0.915615
ethanol,CCO,2973.49,0.996538
ethanol,CCO,2987.95,0.915465
ethanol,CCO,3002.41,0.660418
ethanol,CCO,3016.87,0.386201
ethanol,CCO,3031.33,0.197892
ethanol,CCO,3045.78,0.085691
ethanol,CCO,3060.24,0.034192
ethanol,CCO,3074.7,0.016935
ethanol,CCO,3089.16,0.012059
ethanol,CCO,3103.61,0.009929
ethanol,CCO,3118.07,0.008623
ethanol,CCO,3132.53,0.007163
ethanol,CCO,3146.99,0.007989
ethanol,CCO,3161.45,0.006044
ethanol,CCO,3175.9,0.008631
ethanol,CCO,3190.36,0.009212
ethanol,CCO,3204.82,0.00781
ethanol,CCO,3219.28,0.008991
ethanol,CCO,3233.73,0.007465
ethanol,CCO,3248.19,0.006986
ethanol,CCO,3262.65,0.006614
ethanol,CCO,3277.11,0.005816
ethanol,CCO,3291.57,0.005302
ethanol,CCO,3306.02,0.005042
ethanol,CCO,3320.48,0.005566
ethanol,CCO,3334.94,0.005222
ethanol,CCO,3349.4,0.005768
ethanol,CCO,3363.86,0.005181
ethanol,CCO,3378.31,0.005062
ethanol,CCO,3392.77,0.005182
ethanol,CCO,3407.23,0.004622
ethanol,CCO,3421.69,0.004319
ethanol,CCO,3436.14,0.003642
ethanol,CCO,3450.6,0.002715
ethanol,CCO,3465.06,0.005558
ethanol,CCO,3479.52,0.008415
ethanol,CCO,3493.98,0.005482
ethanol,CCO,3508.43,0.002638
ethanol,CCO,3522.89,0.002465
ethanol,CCO,3537.35,0.001475
ethanol,CCO,3551.81,0.00136
ethanol,CCO,3566.27,0.005433
ethanol,CCO,3580.72,0.005261
ethanol,CCO,3595.18,0.01347
ethanol,CCO,3609.64,0.026296
ethanol,CCO,3624.1,0.047794
ethanol,CCO,3638.55,0.112031
ethanol,CCO,3653.01,0.180564
ethanol,CCO,3667.47,0.189482
ethanol,CCO,3681.93,0.173675
ethanol,CCO,3696.39,0.145634
ethanol,CCO,3710.84,0.056735
ethanol,CCO,3725.3,0.021827
ethanol,CCO,3739.76,0.010218
ethanol,CCO,3754.22,0.009981
ethanol,CCO,3768.67,0.001153
ethanol,CCO,3783.13,0.005742
ethanol,CCO,3797.59,0.004446
ethanol,CCO,3812.05,0.008
ethanol,CCO,3826.51,0.005312
ethanol,CCO,3840.96,0.006725
ethanol,CCO,3855.42,0.012089
ethanol,CCO,3869.88,0.006039
ethanol,CCO,3884.34,0.007088
ethanol,CCO,3898.8,0.004591
ethanol,CCO,3913.25,0.001197
ethanol,CCO,3927.71,0.001507
ethanol,CCO,3942.17,0.00038
ethanol,CCO,3956.63,0.004492
ethanol,CCO,3971.08,0.00426
